id,officer_name,officer_position,position_short_name,update_date,officer_own_percent,quantity,symbol
15,Lương Thanh Tùng,Phó Tổng Giám đốc,Phó TGĐ,2026-02-06,0.0,0,VGC
2,Nguyễn Thị Thanh Yến,Thành viên Ban kiểm soát,TV BKS,2019-06-27,0.0,0,VGC
3,HOÀNG KIM BỒNG,Phó Tổng Giám đốc,Phó TGĐ,2024-07-01,0.0,0,VGC
9,Nguyễn Văn Chuyền,Thành viên Hội đồng Quản trị,TV HĐQT,2026-02-02,0.00951,3630000,HT1
1,Phạm Đình Nhật Cường,Phó Tổng Giám đốc,Phó TGĐ,2015-09-14,6e-06,2268,HT1
3,Trần Thị Bích Thủy,Thành viên Ban kiểm soát,TV BKS,2024-02-01,0.0,3924,HT1
4,Nguyễn Thanh Phúc,Phó Tổng Giám đốc,Phó TGĐ,2024-08-02,0.0,0,HT1
5,Lưu Đình Cường,Tổng Giám đốc/Thành viên Hội đồng Quản trị,TGĐ/TV HĐQT,2024-08-05,0.0,0,HT1
6,Đinh Quang Dũng,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2025-11-28,0.0,0,HT1
7,Hoàng Cảnh Nguyễn,Thành viên Hội đồng Quản trị,TV HĐQT,2026-02-02,0.0,0,HT1
8,Phan Xuân Hiệu,Thành viên Hội đồng Quản trị,TV HĐQT,2026-02-02,0.0,0,HT1
10,Bùi Nguyên Quỳnh,Kế toán trưởng/Thành viên Hội đồng Quản trị,Kế toán trưởng/TV HĐQT,2026-02-02,0.0,0,HT1
11,Phạm Kiến Phương,Phó Tổng Giám đốc,Phó TGĐ,2026-02-02,0.0,0,HT1
12,Lê Thị Thu Thủy,Thành viên Ban kiểm soát,TV BKS,2026-02-02,0.0,0,HT1
13,Trung Thị Tâm Thanh,Trưởng Ban kiểm soát,Trưởng BKS,2026-02-02,0.0,0,HT1
14,Nguyễn Văn Lập,Thành viên Hội đồng Quản trị,TV HĐQT,2026-02-11,0.0,4260,HT1
2,Đặng Thị Phương Thơ,Người phụ trách quản trị công ty/Phụ trách Công bố thông tin,Người phụ trách quản trị công ty/Phụ trách CBTT,2022-12-21,0.0,0,HT1
1,Trần Đình Long,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2026-02-03,0.258,1980000000,HPG
5,Trần Tuấn Dương,Phó Chủ tịch Hội đồng Quản trị,Phó Chủ tịch HĐQT,2026-02-04,0.0231329,177556764,HPG
6,Nguyễn Mạnh Tuấn,Phó Chủ tịch Hội đồng Quản trị,Phó Chủ tịch HĐQT,2026-02-04,0.0227,174088076,HPG
8,Nguyễn Ngọc Quang,Thành viên Hội đồng Quản trị,TV HĐQT,2026-02-04,0.0163,125485714,HPG
7,Doãn Gia Cường,Phó Chủ tịch Hội đồng Quản trị,Phó Chủ tịch HĐQT,2026-02-04,0.0125,96209794,HPG
9,Hoàng Quang Việt,Thành viên Hội đồng Quản trị,TV HĐQT,2026-02-04,0.0045,34701722,HPG
4,Nguyễn Việt Thắng,Thành viên Hội đồng Quản trị/Tổng Giám đốc,TV HĐQT/TGĐ,2026-02-04,0.0032,24618199,HPG
11,Nguyễn Thị Thảo Nguyên,Phó Tổng Giám đốc,Phó TGĐ,2026-02-04,0.0001052,805042,HPG
10,Trần Thị Thu Hiền,Người phụ trách quản trị công ty,Người phụ trách quản trị công ty,2026-02-04,1e-06,7621,HPG
2,Thái  Thị Lộc,Thành viên Ban kiểm soát,TV BKS,2026-02-03,3e-07,2160,HPG
14,Ngô  Lan Anh,Thành viên Ban kiểm soát,TV BKS,2026-02-04,3e-07,2191,HPG
3,Lê Minh Thúy,Thành viên Ban kiểm soát,TV BKS,2026-02-03,0.0,0,HPG
12,Phạm Thị Kim Oanh,Giám đốc Tài chính/Kế toán trưởng,GĐ Tài chính/Kế toán trưởng,2026-02-04,0.0,0,HPG
13,Bùi Thị Hải Vân,Thành viên Ban kiểm soát,TV BKS,2026-02-04,0.0,0,HPG
11,Đặng Minh Thích,Phó Giám đốc,Phó GĐ,2025-08-04,0.0005044,11600,SKV
2,Phan Thị Giang,Phó Giám đốc,Phó GĐ,2025-08-04,0.000313,7200,SKV
12,Nguyễn Khoa Bảo,Giám đốc/Thành viên Hội đồng Quản trị,GĐ/TV HĐQT,2025-08-19,0.000313,7200,SKV
9,Phạm Quốc Hùng,Phó Giám đốc,Phó GĐ,2025-08-04,0.0003087,7100,SKV
