time,open,high,low,close,volume,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d,symbol
2025-05-19,6.44,6.5,6.38,6.4,478900,6.5715,6.7392,6.866212121212121,39.7407749110275,-0.08741476876211252,-0.08812591496868799,0.0007111462065754748,6.877046964259852,6.265953035740148,-0.6211180124223614,0.981331947571663,APH
2025-05-20,6.35,6.4,6.33,6.36,538900,6.552499999999999,6.723599999999999,6.85865671641791,37.964618114042686,-0.09064221602536815,-0.08862917518002403,-0.0020130408453441218,6.8611728808437995,6.243827119156199,-0.6249999999999978,0.9842270591392511,APH
2025-05-21,6.44,6.44,6.29,6.29,398400,6.527500000000001,6.7058,6.850294117647059,35.015275344380754,-0.09772192865583484,-0.0904477258751862,-0.00727420278064865,6.8361728808438,6.2188271191562015,-1.1006289308176154,0.9691559792785558,APH
2025-05-22,6.3,6.38,6.16,6.22,401800,6.4985,6.686600000000001,6.841159420289856,32.31197442061908,-0.10773911742721687,-0.09390600418559233,-0.013833113241624534,6.8083573525791445,6.188642647420855,-1.112877583465821,0.9742101618096823,APH
2025-05-23,6.22,6.37,6.19,6.22,207500,6.475499999999999,6.6682,6.832285714285714,32.31197442061908,-0.11435954603810394,-0.09799671255609467,-0.016362833482009273,6.796713160902272,6.154286839097726,0.0,0.926697008546424,APH
2025-05-26,6.22,6.29,6.18,6.23,292800,6.4510000000000005,6.6478,6.823802816901408,33.166844545551044,-0.1174455280433504,-0.10188647565354582,-0.015559052389804581,6.768417208434756,6.133582791565245,0.1607717041800738,0.9080307088540986,APH
2025-05-27,6.29,6.48,6.28,6.42,472700,6.4345,6.632600000000001,6.818194444444445,46.89122785667568,-0.10336821448001388,-0.10218282341883944,-0.0011853910611744345,6.719084646551106,6.149915353448894,3.049759229534499,1.1782154166687309,APH
2025-05-28,6.45,6.5,6.32,6.36,347700,6.4159999999999995,6.6178,6.811917808219178,43.83026999199402,-0.09594731964287018,-0.1009357226636456,0.004988403020775425,6.665665038759801,6.166334961240198,-0.9345794392523255,1.188314676828124,APH
2025-05-29,6.5,6.5,6.31,6.38,258800,6.4,6.6036,6.80608108108108,45.116362077477575,-0.08744436990274007,-0.09823745211146451,0.010793082208724436,6.611062475160883,6.188937524839118,0.3144654088050203,1.1947291401624045,APH
2025-05-30,6.35,6.44,6.28,6.29,282000,6.3835,6.5878,6.7992,40.61024439603818,-0.086965484836794,-0.09598305865653041,0.009017573819736405,6.572600363215955,6.194399636784045,-1.4106583072100332,1.2047955006177742,APH
2025-06-02,6.31,6.43,6.25,6.27,236500,6.372,6.572199999999999,6.792236842105264,39.6622239835628,-0.08719467192373909,-0.09422538130997216,0.007030709386233069,6.559234724624595,6.184765275375405,-0.31796502384738856,1.1476639070751982,APH
2025-06-03,6.3,6.36,6.28,6.31,422400,6.3625,6.558199999999999,6.785974025974026,42.550780677417585,-0.08318967979044789,-0.09201824100606731,0.008828561215619424,6.541488385392035,6.183511614607965,0.6379585326953707,1.1615292979337588,APH
2025-06-04,6.37,6.38,6.26,6.31,616200,6.3575,6.5451999999999995,6.779871794871795,42.550780677417585,-0.07910383490208073,-0.08943535978527001,0.01033152488318928,6.536488385392035,6.178511614607965,0.0,1.124223127909542,APH
2025-06-05,6.3,6.42,6.3,6.4,589200,6.3545,6.534000000000001,6.775063291139241,48.93054591208627,-0.06782171899350775,-0.08511263162691757,0.017290912633409816,6.528187559776274,6.1808124402237254,1.4263074484944571,1.158778169535726,APH
2025-06-06,6.46,6.69,6.45,6.49,738200,6.361,6.5246,6.7715000000000005,54.385691493886,-0.05103007013073935,-0.07829611932768193,0.027266049196942588,6.544979403881565,6.177020596118434,1.4062499999999867,1.1446823800456114,APH
2025-06-09,6.49,6.49,6.3,6.37,327000,6.3595,6.5127999999999995,6.766543209876543,47.15331855447544,-0.046865330194032495,-0.07200996150095205,0.02514463130691956,6.542627795469908,6.176372204530091,-1.8489984591679498,1.2170746721322623,APH
2025-06-10,6.39,6.41,6.31,6.31,350800,6.3549999999999995,6.5005999999999995,6.760975609756097,44.0024674836261,-0.04785460425850374,-0.06717889005246239,0.019324285793958645,6.538360444566333,6.171639555433666,-0.9419152276295195,1.2345020170316376,APH
2025-06-11,6.31,6.35,6.29,6.31,171300,6.3445,6.488199999999999,6.755542168674699,44.0024674836261,-0.04808432491575498,-0.0633599770251209,0.01527565210936592,6.511387923311882,6.177612076688118,0.0,1.1476756183774144,APH
2025-06-12,6.31,6.4,6.28,6.32,369300,6.335,6.4765999999999995,6.750357142857142,44.71651829392551,-0.04691861517524565,-0.06007170465514586,0.01315308947990021,6.482755131712412,6.187244868287588,0.15847860538829028,1.1498487879124282,APH
2025-06-13,6.26,6.3,6.2,6.22,417500,6.324,6.4632000000000005,6.7441176470588236,39.31732504589326,-0.05344783272698095,-0.05874693026951288,0.005299097542531932,6.471598316920885,6.176401683079114,-1.5822784810126667,1.1767865140189322,APH
2025-06-16,6.2,6.25,6.19,6.25,493100,6.3165,6.449199999999999,6.738372093023256,41.595631605316555,-0.05556106205979905,-0.05810975662757012,0.0025486945677710704,6.463078522157504,6.169921477842495,0.4823151125401992,1.180241635393607,APH
2025-06-17,6.34,6.34,6.2,6.24,223400,6.310499999999999,6.4346000000000005,6.73264367816092,41.0424796347661,-0.057381272368306924,-0.05796405977571748,0.000582787407410558,6.459387099578961,6.161612900421038,-0.15999999999999348,1.1741669942428286,APH
2025-06-18,6.24,6.28,6.18,6.2,435700,6.306,6.4288,6.72659090909091,38.81874526276108,-0.06134432862291117,-0.05864011354515622,-0.002704215077754951,6.462729737211221,6.149270262788779,-0.6410256410256387,1.1577013880842215,APH
2025-06-19,6.25,6.25,6.15,6.18,198100,6.304,6.4264,6.720449438202247,37.718330355155,-0.0653456481543202,-0.05998122046698902,-0.005364427687331183,6.466273323682391,6.141726676317609,-0.3225806451612967,1.133308042502218,APH
2025-06-20,6.18,6.21,6.1,6.14,349400,6.3,6.431,6.7139999999999995,35.54791061758222,-0.07092678854896395,-0.06217033408338401,-0.00875645446557994,6.474476661084342,6.125523338915658,-0.6472491909385147,1.1417310051866978,APH
2025-06-23,6.14,6.14,6.04,6.04,350000,6.2905,6.4336,6.706593406593406,30.77946314573059,-0.08246840237896791,-0.0662299477425008,-0.016238454636467115,6.498495445294218,6.082504554705782,-1.6286644951139961,1.1926200138693182,APH
2025-06-24,6.1,6.16,6.09,6.13,287500,6.276,6.4298,6.7003260869565215,38.74364660707935,-0.08339167928419666,-0.06966229405083997,-0.013729385233356692,6.48640312184992,6.06559687815008,1.490066225165565,1.0094399919346477,APH
2025-06-25,6.15,6.17,6.11,6.13,161100,6.2645,6.4206,6.694193548387096,38.74364660707935,-0.08316471185343133,-0.07236277761135824,-0.010801934242073083,6.480635922146427,6.048364077853573,0.0,0.9964605510785352,APH
2025-06-26,6.12,6.13,6.07,6.13,154470,6.252,6.409199999999999,6.688191489361703,38.74364660707935,-0.08203914236376075,-0.07429805056183875,-0.0077410918019220065,6.468925890813531,6.035074109186469,0.0,0.9907242077673701,APH
