last_updated,group_name,name,value,unit,source
2022-02-28,Tổng FDI,Giải ngân,1.08,Tỷ USD,Cục Đầu tư nước ngoài
2022-02-28,Tổng FDI,Đăng ký,2.9,Tỷ USD,Cục Đầu tư nước ngoài
2022-03-30,Tổng FDI,Giải ngân,1.72,Tỷ USD,Cục Đầu tư nước ngoài
2022-03-30,Tổng FDI,Đăng ký,3.9,Tỷ USD,Cục Đầu tư nước ngoài
2022-05-03,Tổng FDI,Đăng ký,1.9,Tỷ USD,Cục Đầu tư nước ngoài
2022-05-03,Tổng FDI,Giải ngân,1.5,Tỷ USD,Cục Đầu tư nước ngoài
2022-06-28,Tổng FDI,Đăng ký,0.91,Tỷ USD,Cục Đầu tư nước ngoài
2022-06-28,Tổng FDI,Giải ngân,1.79,Tỷ USD,Cục Đầu tư nước ngoài
2022-06-28,Tổng FDI,Đăng ký,2.32,Tỷ USD,Cục Đầu tư nước ngoài
2022-06-28,Tổng FDI,Giải ngân,2.35,Tỷ USD,Cục Đầu tư nước ngoài
2022-07-31,Tổng FDI,Đăng ký,1.51,Tỷ USD,Cục Đầu tư nước ngoài
2022-07-31,Tổng FDI,Giải ngân,1.51,Tỷ USD,Cục Đầu tư nước ngoài
2022-08-28,Tổng FDI,Đăng ký,1.26,Tỷ USD,Cục Đầu tư nước ngoài
2022-08-28,Tổng FDI,Giải ngân,1.23,Tỷ USD,Cục Đầu tư nước ngoài
2022-10-31,Tổng FDI,Đăng ký,1.9,Tỷ USD,Cục Đầu tư nước ngoài
2022-10-31,Tổng FDI,Giải ngân,2.6,Tỷ USD,Cục Đầu tư nước ngoài
2022-10-31,Tổng FDI,Đăng ký,3.76,Tỷ USD,Cục Đầu tư nước ngoài
2022-10-31,Tổng FDI,Giải ngân,2.33,Tỷ USD,Cục Đầu tư nước ngoài
2022-11-28,Tổng FDI,Đăng ký,2.64,Tỷ USD,Cục Đầu tư nước ngoài
2022-11-28,Tổng FDI,Giải ngân,1.95,Tỷ USD,Cục Đầu tư nước ngoài
2022-12-28,Tổng FDI,Đăng ký,2.62,Tỷ USD,Cục Đầu tư nước ngoài
2022-12-28,Tổng FDI,Giải ngân,2.72,Tỷ USD,Cục Đầu tư nước ngoài
2023-10-10,Tổng FDI,Đăng ký,1.69,Tỷ USD,Cục Đầu tư nước ngoài
2023-10-10,Tổng FDI,Giải ngân,1.35,Tỷ USD,Cục Đầu tư nước ngoài
2023-02-27,Tổng FDI,Đăng ký,1.41,Tỷ USD,Cục Đầu tư nước ngoài
2023-02-27,Tổng FDI,Giải ngân,1.2,Tỷ USD,Cục Đầu tư nước ngoài
2023-05-03,Tổng FDI,Đăng ký,2.35,Tỷ USD,Cục Đầu tư nước ngoài
2023-05-03,Tổng FDI,Giải ngân,1.75,Tỷ USD,Cục Đầu tư nước ngoài
2023-05-03,Tổng FDI,Đăng ký,3.43,Tỷ USD,Cục Đầu tư nước ngoài
2023-05-03,Tổng FDI,Giải ngân,1.55,Tỷ USD,Cục Đầu tư nước ngoài
2023-05-30,Tổng FDI,Đăng ký,1.98,Tỷ USD,Cục Đầu tư nước ngoài
2023-05-30,Tổng FDI,Giải ngân,1.8,Tỷ USD,Cục Đầu tư nước ngoài
2023-06-29,Tổng FDI,Giải ngân,2.37,Tỷ USD,Cục Đầu tư nước ngoài
2023-06-29,Tổng FDI,Đăng ký,2.57,Tỷ USD,Cục Đầu tư nước ngoài
2023-08-06,Tổng FDI,Giải ngân,1.56,Tỷ USD,Cục Đầu tư nước ngoài
