last_updated,group_name,name,value,unit,source,report_type
2017-12-17,Giá trị GDP hiện hành,Dịch vụ,451589.0,Tỷ VNĐ,Tổng cục thống kê,Quý 2
2017-12-17,Giá trị GDP hiện hành,Dịch vụ,450838.0,Tỷ VNĐ,Tổng cục thống kê,Quý 3
2017-12-17,Giá trị GDP hiện hành,Dịch vụ,498847.0,Tỷ VNĐ,Tổng cục thống kê,Quý 3
2017-12-17,Giá trị GDP hiện hành,Dịch vụ,560008.0,Tỷ VNĐ,Tổng cục thống kê,Quý 3
2017-12-17,Giá trị GDP hiện hành,Dịch vụ,510460.0,Tỷ VNĐ,Tổng cục thống kê,Quý 4
2017-12-17,Giá trị GDP hiện hành,Dịch vụ,573034.5,Tỷ VNĐ,Tổng cục thống kê,Quý 4
2017-12-17,Giá trị GDP hiện hành,GDP danh nghĩa,970287.0,Tỷ VNĐ,Tổng cục thống kê,Quý 2
2017-12-17,Giá trị GDP hiện hành,GDP danh nghĩa,1029558.0,Tỷ VNĐ,Tổng cục thống kê,Quý 2
2017-12-17,Giá trị GDP hiện hành,GDP danh nghĩa,1127215.0,Tỷ VNĐ,Tổng cục thống kê,Quý 2
2017-12-17,Giá trị GDP hiện hành,GDP danh nghĩa,1072220.0,Tỷ VNĐ,Tổng cục thống kê,Quý 3
2017-12-17,Giá trị GDP hiện hành,GDP danh nghĩa,1157955.0,Tỷ VNĐ,Tổng cục thống kê,Quý 3
2017-12-17,Giá trị GDP hiện hành,GDP danh nghĩa,1272433.0,Tỷ VNĐ,Tổng cục thống kê,Quý 3
2017-12-17,Giá trị GDP hiện hành,GDP danh nghĩa,1341472.0,Tỷ VNĐ,Tổng cục thống kê,Quý 4
2017-12-17,Giá trị GDP hiện hành,GDP danh nghĩa,1464904.99,Tỷ VNĐ,Tổng cục thống kê,Quý 4
2017-12-17,Giá trị GDP hiện hành,Nông nghiệp,197829.0,Tỷ VNĐ,Tổng cục thống kê,Quý 2
2017-12-17,Giá trị GDP hiện hành,Nông nghiệp,198637.0,Tỷ VNĐ,Tổng cục thống kê,Quý 2
2017-12-17,Giá trị GDP hiện hành,Nông nghiệp,159903.0,Tỷ VNĐ,Tổng cục thống kê,Quý 2
2017-12-17,Giá trị GDP hiện hành,Nông nghiệp,50741.0,Tỷ VNĐ,Tổng cục thống kê,Quý 3
2017-12-17,Giá trị GDP hiện hành,Nông nghiệp,176081.0,Tỷ VNĐ,Tổng cục thống kê,Quý 3
2017-12-17,Giá trị GDP hiện hành,Nông nghiệp,122166.0,Tỷ VNĐ,Tổng cục thống kê,Quý 3
2017-12-17,Giá trị GDP hiện hành,Nông nghiệp,185177.0,Tỷ VNĐ,Tổng cục thống kê,Quý 4
2017-12-17,Giá trị GDP hiện hành,Nông nghiệp,262858.89,Tỷ VNĐ,Tổng cục thống kê,Quý 4
2017-12-17,Tăng trưởng thực của GDP,Công nghiệp,,%,Tổng cục thống kê,Quý 2
2017-12-17,Tăng trưởng thực của GDP,Công nghiệp,,%,Tổng cục thống kê,Quý 2
2017-12-17,Tăng trưởng thực của GDP,Công nghiệp,,%,Tổng cục thống kê,Quý 2
2017-12-17,Tăng trưởng thực của GDP,Công nghiệp,,%,Tổng cục thống kê,Quý 3
2017-12-17,Tăng trưởng thực của GDP,Công nghiệp,,%,Tổng cục thống kê,Quý 3
2017-12-17,Tăng trưởng thực của GDP,Công nghiệp,,%,Tổng cục thống kê,Quý 3
2017-12-17,Tăng trưởng thực của GDP,Công nghiệp,,%,Tổng cục thống kê,Quý 4
2017-12-17,Tăng trưởng thực của GDP,Công nghiệp,,%,Tổng cục thống kê,Quý 4
2017-12-17,Tăng trưởng thực của GDP,Dịch vụ,,%,Tổng cục thống kê,Quý 2
2017-12-17,Tăng trưởng thực của GDP,Dịch vụ,,%,Tổng cục thống kê,Quý 2
2017-12-17,Tăng trưởng thực của GDP,Dịch vụ,,%,Tổng cục thống kê,Quý 2
2017-12-17,Tăng trưởng thực của GDP,Dịch vụ,,%,Tổng cục thống kê,Quý 3
2017-12-17,Tăng trưởng thực của GDP,Dịch vụ,,%,Tổng cục thống kê,Quý 3
2017-12-17,Tăng trưởng thực của GDP,Dịch vụ,,%,Tổng cục thống kê,Quý 3
2017-12-17,Tăng trưởng thực của GDP,Dịch vụ,,%,Tổng cục thống kê,Quý 4
2017-12-17,Tăng trưởng thực của GDP,Dịch vụ,,%,Tổng cục thống kê,Quý 4
2017-12-17,Tăng trưởng thực của GDP,Nông nghiệp,,%,Tổng cục thống kê,Quý 2
2017-12-17,Tăng trưởng thực của GDP,Nông nghiệp,,%,Tổng cục thống kê,Quý 2
2017-12-17,Tăng trưởng thực của GDP,Nông nghiệp,,%,Tổng cục thống kê,Quý 2
2017-12-17,Tăng trưởng thực của GDP,Nông nghiệp,,%,Tổng cục thống kê,Quý 3
2017-12-17,Tăng trưởng thực của GDP,Nông nghiệp,,%,Tổng cục thống kê,Quý 3
2017-12-17,Tăng trưởng thực của GDP,Nông nghiệp,,%,Tổng cục thống kê,Quý 3
2017-12-17,Tăng trưởng thực của GDP,Nông nghiệp,,%,Tổng cục thống kê,Quý 4
2017-12-17,Tăng trưởng thực của GDP,Nông nghiệp,,%,Tổng cục thống kê,Quý 4
2017-12-17,Tăng trưởng thực của GDP,Tổng GDP,,%,Tổng cục thống kê,Quý 2
2017-12-17,Tăng trưởng thực của GDP,Tổng GDP,,%,Tổng cục thống kê,Quý 2
2017-12-17,Tăng trưởng thực của GDP,Tổng GDP,6.17,%,Tổng cục thống kê,Quý 2
2017-12-17,Tăng trưởng thực của GDP,Tổng GDP,,%,Tổng cục thống kê,Quý 3
2017-12-17,Tăng trưởng thực của GDP,Tổng GDP,,%,Tổng cục thống kê,Quý 3
2017-12-17,Tăng trưởng thực của GDP,Tổng GDP,7.46,%,Tổng cục thống kê,Quý 3
2017-12-17,Tăng trưởng thực của GDP,Tổng GDP,,%,Tổng cục thống kê,Quý 4
2017-12-17,Tăng trưởng thực của GDP,Tổng GDP,,%,Tổng cục thống kê,Quý 4
2018-12-02,Cơ cấu GDP  theo giá hiện tại,Công nghiệp,35.26,%,Tổng cục thống kê,Quý 1
2018-12-02,Cơ cấu GDP  theo giá hiện tại,Công nghiệp,32.5,%,Tổng cục thống kê,Quý 2
2018-12-02,Cơ cấu GDP  theo giá hiện tại,Công nghiệp,32.94,%,Tổng cục thống kê,Quý 3
2018-12-02,Cơ cấu GDP  theo giá hiện tại,Công nghiệp,,%,Tổng cục thống kê,Quý 4
2018-12-02,Cơ cấu GDP  theo giá hiện tại,Dịch vụ,43.77,%,Tổng cục thống kê,Quý 1
2018-12-02,Cơ cấu GDP  theo giá hiện tại,Dịch vụ,40.2,%,Tổng cục thống kê,Quý 2
2018-12-02,Cơ cấu GDP  theo giá hiện tại,Dịch vụ,43.74,%,Tổng cục thống kê,Quý 3
2018-12-02,Cơ cấu GDP  theo giá hiện tại,Dịch vụ,,%,Tổng cục thống kê,Quý 4
2018-12-02,Cơ cấu GDP  theo giá hiện tại,Nông nghiệp,10.34,%,Tổng cục thống kê,Quý 1
2018-12-02,Cơ cấu GDP  theo giá hiện tại,Nông nghiệp,17.3,%,Tổng cục thống kê,Quý 2
2018-12-02,Cơ cấu GDP  theo giá hiện tại,Nông nghiệp,13.61,%,Tổng cục thống kê,Quý 3
2018-12-02,Cơ cấu GDP  theo giá hiện tại,Nông nghiệp,,%,Tổng cục thống kê,Quý 4
2018-12-02,Giá trị GDP (2010),Công nghiệp,227596.0,Tỷ VNĐ,,Quý 1
2018-12-02,Giá trị GDP (2010),Công nghiệp,285311.3,Tỷ VNĐ,,Quý 2
2018-12-02,Giá trị GDP (2010),Công nghiệp,313178.98,Tỷ VNĐ,,Quý 3
2018-12-02,Giá trị GDP (2010),Công nghiệp,382755.0,Tỷ VNĐ,,Quý 4
2018-12-02,Giá trị GDP (2010),Dịch vụ,260157.0,Tỷ VNĐ,,Quý 1
2018-12-02,Giá trị GDP (2010),Dịch vụ,298528.4,Tỷ VNĐ,,Quý 2
2018-12-02,Giá trị GDP (2010),Dịch vụ,356052.64,Tỷ VNĐ,,Quý 3
2018-12-02,Giá trị GDP (2010),Dịch vụ,408740.0,Tỷ VNĐ,,Quý 4
2018-12-02,Giá trị GDP (2010),GDP thực,637244.0,Tỷ VNĐ,,Quý 1
2018-12-02,Giá trị GDP (2010),GDP thực,828850.8,Tỷ VNĐ,,Quý 2
2018-12-02,Giá trị GDP (2010),GDP thực,891879.79,Tỷ VNĐ,,Quý 3
2018-12-02,Giá trị GDP (2010),GDP thực,1057613.0,Tỷ VNĐ,,Quý 4
2018-12-02,Giá trị GDP (2010),Nông nghiệp,70244.0,Tỷ VNĐ,,Quý 1
2018-12-02,Giá trị GDP (2010),Nông nghiệp,152738.3,Tỷ VNĐ,,Quý 2
