time,open,high,low,close,volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,STOCHk_14_3_3,STOCHd_14_3_3,ADX_14,DMP_14,DMN_14
2025-10-15,37.44,38.03,37.21,37.76,30134761,35.9685,,36.77117005244996,36.029796448905024,61.56866554321898,0.7413736035449361,0.11900663541637457,0.6223669681285615,33.584207442447536,35.9685,38.35279255755246,13.257670225627775,0.8756879570682843,70.16510286219832,69.6421732936256,19.712980942377648,32.44784020680806,19.34915816078772
2025-10-16,37.98,38.49,37.48,37.67,29782632,36.04,,36.90945158284227,36.15129300824539,60.81149817755675,0.7581585745968837,0.10863328517465776,0.649525289422226,33.54426764255458,36.04,38.53573235744542,13.84979110680033,0.8265574521917962,66.72672672672677,68.60179681756449,20.442461043419904,33.21469841798468,18.216197592720132
2025-10-17,37.8,38.21,37.07,37.16,38994147,36.106,35.326,36.94799749317423,36.226012044671656,56.56626090112506,0.7219854485025721,0.0579681272642768,0.6640173212382953,33.565500836449644,36.106,38.64649916355036,14.072448698556238,0.707439548715896,65.58558558558559,67.4924717248369,20.64173482681971,31.007754970185708,19.395507098847826
2025-10-20,37.12,38.08,34.57,34.57,70627248,36.089,35.393,36.58215172499358,36.10334448580709,40.93678879705035,0.47880723918648727,-0.14816806564144647,0.6269753048279337,33.512421648775245,36.089,38.66557835122475,14.279023254868541,0.20522922400594668,46.42642642642644,59.579579579579594,19.537041051027856,25.409592062294266,28.75285475921817
2025-10-21,34.57,35.98,33.66,35.16,81234490,36.096999999999994,35.4656,36.36335915191764,36.03346711648805,44.686153030403105,0.32989203542959444,-0.2376666155186714,0.5675586509482659,33.533033541561025,36.096999999999994,38.66096645843896,14.205980876188988,0.3172753007520864,32.374242754865584,48.12875158895921,19.128627945908963,22.516031313045552,29.94529003743731
2025-10-22,35.34,35.34,33.89,35.02,32824521,36.0605,35.4998,36.156688513161086,35.95839547822967,43.97283088073836,0.19829303493141737,-0.2954124928134788,0.4937055277448962,33.457329049025,36.0605,38.663670950974996,14.437797318256813,0.30014758546489567,20.57774037012795,33.12613651714,18.75295185702185,20.91308932517378,27.813450634984733
2025-10-23,35.07,35.21,34.16,34.16,24303029,35.992000000000004,35.53,35.84950566498246,35.82518099836081,39.77278667840741,0.024324666621652113,-0.3755046888985953,0.3998293555202474,33.267330478755255,35.992000000000004,38.716669521244754,15.140417433011496,0.1638124393223532,19.377162629757823,24.109715251583793,18.407141745426905,19.813109832935186,26.350528307672413
2025-10-24,33.89,34.07,32.52,32.79,82117726,35.900999999999996,35.5328,35.37881248575439,35.60035277626001,34.173134510914394,-0.2215402905056223,-0.49709571682069575,0.27555542631507346,32.89113688018872,35.900999999999996,38.910863119811275,16.767572601383133,-0.016800910234592344,12.02722163329802,17.327374877727937,19.124314121521508,18.202682877333373,32.33682200307188
2025-10-27,33.16,33.29,31.47,31.7,71186329,35.775999999999996,35.513000000000005,34.81284133409987,35.311437755796305,30.494496068148454,-0.49859642169643337,-0.6193214784092055,0.12072505671277212,32.319444489090316,35.775999999999996,39.23255551090968,19.32332016385108,-0.08960430219263191,5.146024989019195,12.183469750691684,20.322817100839572,16.591021719021917,34.58179059978076
2025-10-28,31.61,32.79,31.61,32.66,34496457,35.653000000000006,35.516799999999996,34.48163497500759,35.11503495907065,36.933658029686754,-0.6333999840630611,-0.6033000326206666,-0.030099951442394524,31.945833426995755,35.653000000000006,39.36016657300426,20.79581843325527,0.09632242832097619,7.239515717659894,8.13758744665904,21.428051255305753,15.625069599861241,32.568391155192586
2025-10-29,32.75,32.97,32.43,32.43,22919550,35.51649999999999,35.5294,34.16599882500642,34.91614348062097,36.07144422939295,-0.7501446556145481,-0.5760357633377229,-0.17410889227682524,31.55449406865662,35.51649999999999,39.47850593134337,22.310790372606398,0.11048771083572391,9.953994144709329,7.446511617129477,22.252441096551095,16.11900370952194,31.659965601426155
