Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,symbol
ticker,yearReport,lengthReport,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Cash Cycle,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
DCV,2018,4,0.1221134701,0.03153259637432972,0.8991479671946634,0.4787101594,15.9872888814,108.14021627315664,108.14021627315664,0.34043062760339,1,0.09407251222772517,0.1906710041,0.1511305913,0.1667025713,44299795435.0,8838174038,8.4779388088,6.3933522189,8.4779388088,,1.1221134700851125,0.0,22951203.0,0.0,0.0,0.0,0.0,106.41214846123752,12223.5180014747,0.0,quarter,DCV
DCV,2018,3,0.0,0.026462636616794728,0.8913204115791528,0.0,0.0,0.0,0.0,0.2995112876121161,1,0.22447105433532644,0.0,0.0,0.0,0.0,7323523383,0.0,0.0,0.0,,1.1692566743973836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quarter,DCV
DCV,2018,2,0.0,0.02497403329826819,0.8737291607618349,0.0,0.0,0.0,0.0,0.3933116247338006,1,0.20022323435945252,0.0,0.0,0.0,0.0,13364216418,0.0,0.0,0.0,,1.120933141888671,0.0,22951203.0,0.0,0.0,0.0,0.0,296.4256191276771,0.0,0.0,quarter,DCV
DCV,2018,1,0.0,0.02572654682082252,0.8519244321369893,0.0,0.0,0.0,0.0,0.29017663266426774,1,0.6785526886727843,0.0,0.0,0.0,0.0,12872933713,0.0,0.0,0.0,,1.122692455286022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quarter,DCV
DCV,2017,3,0.0,0.04185859392732895,0.5750808208436466,0.0,0.0,0.0,0.0,-0.17714162055471067,1,0.3170424587338906,0.0,0.0,0.0,0.0,-2079493361,0.0,0.0,0.0,,1.051509286911986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quarter,DCV
DCV,2017,2,0.0,0.04537624866285743,0.5636888154289732,0.0,0.0,0.0,0.0,-0.7640368828532801,1,0.05390459549402835,0.0,0.0,0.0,0.0,-6015452630,0.0,0.0,0.0,,1.048805002106215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quarter,DCV
DCV,2016,4,0.0615087633,0.01791482854756929,0.5623890568592311,0.1782434106,10.9694743119,0.0,0.0,0.06641481340716973,1,0.024666931853259397,0.0033419476,-0.0633239478,0.003067002,-11111567978.0,972391245,13.6940568044,10.2350794494,13.6940568044,,1.0615087632844034,0.0,22951203.0,0.0,0.0,0.0,0.0,15.735688974560505,7645.429908271,0.0,quarter,DCV
DCV,2016,3,0.0,0.018070003245662755,0.5612315576227448,0.0,0.0,0.0,0.0,-0.5478788692941555,1,0.012932760461033891,0.0,0.0,0.0,0.0,-4335897007,0.0,0.0,0.0,,1.061601304588372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quarter,DCV
DCV,2016,2,0.0,0.01717987847764296,0.5609035264349129,0.0,0.0,0.0,0.0,-0.5940120190718049,1,0.5602116646077627,0.0,0.0,0.0,0.0,-3485403784,0.0,0.0,0.0,,1.0510323850669174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quarter,DCV
DCV,2016,1,0.0,0.01646028527102307,0.5503684058882073,0.0,0.0,0.0,0.0,-0.7610572374873149,1,-0.5651059341810476,0.0,0.0,0.0,0.0,-4262658432,0.0,0.0,0.0,,1.052978678906664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quarter,DCV
DCV,2015,4,0.0,0.047649175776019036,0.5605127174091026,0.0,0.0,0.0,0.0,-1.8302890007392227,1,-1.0466862051488772,0.0,0.0,0.0,0.0,-11206045827,0.0,0.0,0.0,,1.117878182682225,0.0,22951203.0,0.0,0.0,0.0,0.0,-279.2182305215112,7619.9219052701,0.0,quarter,DCV
DCV,2015,3,0.0,0.009328772305864132,0.6282935493164465,0.0,0.0,0.0,0.0,-0.11595678197914684,1,0.09339894621977057,0.0,0.0,0.0,0.0,-855379514,0.0,0.0,0.0,,1.043865530275207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8541.3722662816,0.0,quarter,DCV
DCV,2015,2,0.0,0.0076269843732729445,0.626085370888496,0.0,0.0,0.0,0.0,-0.3911485371370078,1,1.0564508338830199,0.0,0.0,0.0,0.0,-2870025932,0.0,0.0,0.0,,1.062263122258131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quarter,DCV
DCV,2015,1,0.0,0.008507567914799393,0.6012412921635595,0.0,0.0,0.0,0.0,-0.38266984590337183,1,1.6781860401919237,0.0,0.0,0.0,0.0,-2838716268,0.0,0.0,0.0,,1.0501053451735416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8173.6088231628,0.0,quarter,DCV
DCV,2014,4,0.0,0.010497503263360542,0.5613418020903914,0.0,0.0,0.0,0.0,-0.2164711985084996,1,-0.23579471298251956,0.0,0.0,0.0,0.0,-2208628560,0.0,0.0,0.0,,1.05233098444401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7631.1929439603,0.0,quarter,DCV
DCV,2014,3,0.0,0.009201248699454845,0.7163226114825345,0.0,0.0,0.0,0.0,-0.3617522977582581,1,0.030395403438356103,0.0,0.0,0.0,0.0,-2911040860,0.0,0.0,0.0,,1.0445389908527116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quarter,DCV
