stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
LPB125027,Ngân hàng,3.16,BOND,2026-02-06,50,MAFF
LPB122011,Ngân hàng,2.74,BOND,2026-02-06,50,MAFF
MSN123008,Thực phẩm - Đồ uống,9.44,BOND,2026-02-06,27,DCBF
VPI124001,Bất động sản,9.15,BOND,2026-02-06,27,DCBF
CII124021,Xây dựng,7.1,BOND,2026-02-06,27,DCBF
DSE125018,Chứng khoán,5.71,BOND,2026-02-06,27,DCBF
HDB124018,Ngân hàng,5.7,BOND,2026-02-06,27,DCBF
TNG122017,Sản xuất Hàng gia dụng,4.09,BOND,2026-02-06,27,DCBF
KBC12401,Bất động sản,3.89,UNLISTED_BOND,2026-02-06,27,DCBF
MSN123009,Thực phẩm - Đồ uống,3.4,BOND,2026-02-06,27,DCBF
LPB125006,Ngân hàng,2.84,BOND,2026-02-06,27,DCBF
BAF123020,Nông - Lâm - Ngư,2.6,BOND,2026-02-06,27,DCBF
NAB125004,Ngân hàng,9.78,BOND,2026-02-06,13,BVBF
SHB125010,Ngân hàng,9.31,BOND,2026-02-06,13,BVBF
VBA124019,Ngân hàng,4.94,BOND,2026-02-06,13,BVBF
MSN123008,Thực phẩm - Đồ uống,9.84,BOND,2026-02-06,21,VFF
HDB124006,Ngân hàng,8.55,BOND,2026-02-06,21,VFF
MSN123010,Thực phẩm - Đồ uống,8.15,BOND,2026-02-06,21,VFF
SHB125010,Ngân hàng,7.29,BOND,2026-02-06,21,VFF
DSE125018,Chứng khoán,6.77,BOND,2026-02-06,21,VFF
MML121021,Thực phẩm - Đồ uống,6.28,BOND,2026-02-06,21,VFF
BCM12406,Bất động sản,3.38,UNLISTED_BOND,2026-02-06,21,VFF
DSE125004,Chứng khoán,3.04,BOND,2026-02-06,21,VFF
HDC12501,Bất động sản,2.5,UNLISTED_BOND,2026-02-06,21,VFF
KBC12401,Bất động sản,1.69,UNLISTED_BOND,2026-02-06,21,VFF
MSN123009,Thực phẩm - Đồ uống,11.12,BOND,2026-02-06,8,SSIBF
MML121021,Thực phẩm - Đồ uống,10.75,BOND,2026-02-06,8,SSIBF
VIC123029,Bất động sản,10.69,BOND,2026-02-06,8,SSIBF
BCM12406,Bất động sản,10.59,BOND,2026-02-06,8,SSIBF
HDB124018,Ngân hàng,3.53,BOND,2026-02-06,8,SSIBF
MBB,Ngân hàng,11.6,STOCK,2026-01-15,52,NTPPF
HCM,Chứng khoán,9.9,STOCK,2026-01-15,52,NTPPF
FPT,Công nghệ và thông tin,7.0,STOCK,2026-01-15,52,NTPPF
CTG,Ngân hàng,5.2,STOCK,2026-01-15,52,NTPPF
MWG,Bán lẻ,5.2,STOCK,2026-01-15,52,NTPPF
PNJ,Sản xuất Phụ trợ,4.9,STOCK,2026-01-15,52,NTPPF
GMD,Vận tải - Kho bãi,4.6,STOCK,2026-01-15,52,NTPPF
HPG,Vật liệu xây dựng,4.6,STOCK,2026-01-15,52,NTPPF
STB,Ngân hàng,4.6,STOCK,2026-01-15,52,NTPPF
TCB,Ngân hàng,4.5,STOCK,2026-01-15,52,NTPPF
HSG,Vật liệu xây dựng,3.47,STOCK,2026-02-05,62,HDBOND
VPB,Ngân hàng,2.44,STOCK,2026-02-05,62,HDBOND
TDP124010,Sản xuất Nhựa - Hóa chất,16.16,BOND,2026-02-05,62,HDBOND
CII425021,Xây dựng,12.87,BOND,2026-02-05,62,HDBOND
CMX123035,Chế biến thủy sản,12.45,BOND,2026-02-05,62,HDBOND
TNG122017,Sản xuất Hàng gia dụng,12.4,BOND,2026-02-05,62,HDBOND
MSN123008,Thực phẩm - Đồ uống,8.73,BOND,2026-02-05,62,HDBOND
SBT12401,Thực phẩm - Đồ uống,8.35,UNLISTED_BOND,2026-02-05,62,HDBOND
BAF123020,Nông - Lâm - Ngư,5.09,BOND,2026-02-05,62,HDBOND
TNG124027,Sản xuất Hàng gia dụng,4.41,BOND,2026-02-05,62,HDBOND
BAF123020,Nông - Lâm - Ngư,26.07,BOND,2026-02-06,45,PVBF
VHM121025,Bất động sản,21.34,BOND,2026-02-06,45,PVBF
SBT12401,Thực phẩm - Đồ uống,12.94,BOND,2026-02-06,45,PVBF
VIC123029,Bất động sản,7.81,BOND,2026-02-06,45,PVBF
MSN123009,Thực phẩm - Đồ uống,2.06,BOND,2026-02-06,45,PVBF
VIC123029,Bất động sản,12.28,BOND,2026-02-06,65,ABBF
DSE125018,Chứng khoán,10.88,BOND,2026-02-06,65,ABBF
MML121021,Thực phẩm - Đồ uống,10.03,BOND,2026-02-06,65,ABBF
MSN123008,Thực phẩm - Đồ uống,8.21,BOND,2026-02-06,65,ABBF
MSN123009,Thực phẩm - Đồ uống,7.92,BOND,2026-02-06,65,ABBF
TNG124027,Sản xuất Hàng gia dụng,6.95,BOND,2026-02-06,65,ABBF
VHM121025,Bất động sản,6.39,BOND,2026-02-06,65,ABBF
VIC124003,Bất động sản,4.79,BOND,2026-02-06,65,ABBF
VIC124005,Bất động sản,4.77,BOND,2026-02-06,65,ABBF
HDB125011,Ngân hàng,3.03,BOND,2026-02-06,65,ABBF
VPI124001,Bất động sản,12.91,BOND,2026-02-06,67,DCIP
DSE125018,Chứng khoán,8.46,BOND,2026-02-06,67,DCIP
HDB124018,Ngân hàng,8.46,BOND,2026-02-06,67,DCIP
SHB125017,Ngân hàng,7.47,BOND,2026-02-06,67,DCIP
MSN123008,Thực phẩm - Đồ uống,6.79,BOND,2026-02-06,67,DCIP
DSE125004,Chứng khoán,4.66,BOND,2026-02-06,67,DCIP
CII124021,Xây dựng,2.12,BOND,2026-02-06,67,DCIP
MSN123009,Thực phẩm - Đồ uống,2.1,BOND,2026-02-06,67,DCIP
AF050129,Khác,0.91,UNLISTED_BOND,2026-02-06,67,DCIP
TNG122017,Sản xuất Hàng gia dụng,18.83,BOND,2026-02-06,63,VCAMFI
BVB124020,Ngân hàng,17.63,BOND,2026-02-06,63,VCAMFI
MSN123008,Thực phẩm - Đồ uống,15.5,BOND,2026-02-06,63,VCAMFI
VHM121025,Bất động sản,11.01,BOND,2026-02-06,63,VCAMFI
NLG12501,Bất động sản,8.83,UNLISTED_BOND,2026-02-06,63,VCAMFI
VBA123036,Ngân hàng,7.08,BOND,2026-02-06,63,VCAMFI
CTG121031,Ngân hàng,6.82,BOND,2026-02-06,63,VCAMFI
LPB121036,Ngân hàng,6.55,BOND,2026-02-06,63,VCAMFI
Trái phiếu chưa niêm yết,Khác,9.59,BOND,2026-02-06,51,ASBF
KBC12401,Bất động sản,9.59,BOND,2026-02-06,51,ASBF
