time,open,high,low,close,volume,symbol,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d
2025-10-16,2399.47,2420.49,2385.46,2403.51,80817745,VNMAT,2439.112,2450.4226,2189.587763975155,45.35645313194245,-6.5263984767807415,-0.6083617974839624,-5.91803667929678,2512.4384061289484,2365.785593871052,0.2774463256093318,1.4916797140226428
2025-10-17,2407.48,2427.03,2379.32,2380.02,101506216,VNMAT,2433.1580000000004,2450.0647999999997,2190.7632716049384,42.67458577280833,-10.1921397076012,-2.5251173795074098,-7.66702232809379,2505.3039350279055,2361.0120649720952,-0.9773206685222968,1.5017091380695358
2025-10-20,2373.35,2396.65,2226.15,2227.65,163812399,VNMAT,2422.5975000000003,2444.8222,2190.989570552147,30.20040343794733,-25.102881245051776,-7.040670152616284,-18.062211092435493,2539.3017711300586,2305.893228869942,-6.402047041621495,1.99162549365246
2025-10-21,2248.86,2296.88,2223.39,2281.13,134409391,VNMAT,2414.121,2440.9550000000004,2191.5392073170733,37.145175643899044,-32.232802606358746,-12.079096643364776,-20.153705962993968,2545.8967196547396,2282.3452803452606,2.400736201827036,2.082127549320983
2025-10-22,2287.46,2299.96,2245.27,2291.64,73064770,VNMAT,2404.52,2437.0962000000004,2192.1458787878787,38.441428208901996,-36.61319338679732,-16.985915992051286,-19.627277394746034,2542.7839201709935,2266.2560798290065,0.4607365647727013,2.0536572172200134
2025-10-23,2299.83,2309.61,2275.55,2276.19,46526031,VNMAT,2394.696,2432.3484,2192.6521686746987,37.226058201396064,-40.860357748829756,-21.76080434340698,-19.099553405422775,2540.2976751494093,2249.0943248505905,-0.6741896632978972,2.0546741672825886
2025-10-24,2275.22,2289.22,2244.53,2270.32,58021079,VNMAT,2385.5530000000003,2427.9778,2193.1172455089823,36.75064821014709,-44.19052518063472,-26.246748510852534,-17.94377666978219,2538.472930352279,2232.6330696477216,-0.25788708323997156,2.052724101819544
2025-10-27,2292.1,2311.99,2268.34,2272.45,59492179,VNMAT,2376.947,2423.7032,2193.5894642857143,37.064729122614374,-46.12612045990545,-30.22262290066312,-15.903497559242332,2535.1636514757815,2218.7303485242187,0.09381937348038605,2.0553069042184826
2025-10-28,2273.16,2309.31,2260.13,2309.24,55023163,VNMAT,2372.1705,2420.6234,2194.2737869822486,42.386370094421395,-44.18214387859416,-33.014527096249324,-11.167616782344837,2532.6029657359095,2211.738034264091,1.6189575128165545,2.0766755384149547
2025-10-29,2319.0,2358.23,2309.24,2343.37,75265996,VNMAT,2368.596,2417.5466,2195.150823529412,46.87431190597937,-39.43296400573081,-34.298214478145624,-5.1347495275851855,2528.2072188907405,2208.9847811092595,1.4779754378063892,2.1060821679604462
2025-10-30,2352.9,2360.5,2315.98,2321.19,54171438,VNMAT,2365.1760000000004,2414.4812,2195.887894736842,44.45097811783205,-37.03206280612858,-34.84498414374222,-2.1870786623863623,2525.8210310336053,2204.5309689663954,-0.9465001258870731,2.103907838086262
2025-10-31,2321.42,2340.44,2315.81,2318.32,60255400,VNMAT,2363.206,2412.679,2196.5997093023257,44.13303664537142,-34.95794291691209,-34.867575898376195,-0.09036701853589335,2525.196706867948,2201.2152931320525,-0.1236434759756766,2.084593504433219
2025-11-03,2325.12,2337.68,2275.93,2275.93,74046823,VNMAT,2353.938,2410.2862,2197.058265895954,39.62487045141244,-36.316077557361496,-35.15727623017325,-1.1588013271882431,2513.492254702539,2194.3837452974612,-1.8284792435901975,1.8337313361810736
2025-11-04,2283.07,2319.71,2239.77,2318.93,83493274,VNMAT,2347.754,2410.5822,2197.7586781609198,45.68579975934279,-33.536085294951135,-34.83303804312883,1.296952748177695,2502.3478041108765,2193.1601958891233,1.8893375455308448,1.8989555790499306
2025-11-05,2298.65,2323.35,2292.63,2299.97,66967204,VNMAT,2339.6765000000005,2410.8264,2198.3427428571426,43.60709477453882,-32.488329701382554,-34.36409637477958,1.875766673397024,2485.8970241947522,2193.4559758052487,-0.8176184705877332,1.8874490121077272
2025-11-06,2305.22,2311.02,2283.97,2285.79,50713714,VNMAT,2331.462,2409.0106,2198.8396022727275,42.0655341294512,-32.42836928247425,-33.97695095631851,1.5485816738442608,2469.814988608272,2193.109011391728,-0.6165297808232162,1.8883600329438013
2025-11-07,2286.09,2308.12,2263.33,2265.26,98819422,VNMAT,2320.3149999999996,2407.344,2199.2148587570623,39.86804947362279,-33.64955847811598,-33.911472460678006,0.261913982562028,2440.1861166650447,2200.4438833349545,-0.898157748524564,1.8385010733753508
2025-11-10,2270.51,2305.37,2261.11,2276.11,76995237,VNMAT,2311.2954999999997,2405.4298,2199.6468539325842,41.60427435297345,-33.35733282252886,-33.80064453304818,0.4433117105193176,2413.928060848467,2208.6629391515326,0.4789737160414198,1.8390272173530648
2025-11-11,2286.67,2304.72,2273.13,2287.19,54607494,VNMAT,2305.0535,2403.374,2200.13592178771,43.401490788001276,-31.86436590920539,-33.41338880827962,1.549022899074231,2396.4614766817485,2213.6455233182514,0.48679545364678223,1.8155392417822125
2025-11-12,2296.65,2324.37,2286.92,2323.83,64567305,VNMAT,2301.402,2401.1062,2200.823111111111,48.99207700695919,-27.40868680720905,-32.212448408065505,4.803761600856454,2382.636800579934,2220.167199420066,1.601965730874988,1.859001000130202
2025-11-13,2326.78,2345.82,2321.3,2322.78,60541831,VNMAT,2297.3655000000003,2396.6604,2201.4969060773483,48.84318381501114,-23.689181108411503,-30.507794948134705,6.818613839723202,2363.9368696877555,2230.794130312245,-0.04518402809154942,1.856606486898554
2025-11-14,2319.66,2349.15,2319.6,2337.86,54183679,VNMAT,2295.2575,2393.7484,2202.246153846154,51.13986330573987,-19.30211332606723,-28.26665862372121,8.96454529765398,2352.8768760813023,2237.638123918698,0.6492220528849124,1.854262641455242
2025-11-17,2350.8,2365.45,2333.01,2364.08,68288917,VNMAT,2302.0789999999997,2391.5894,2203.130491803279,54.92875723125533,-13.553360923078344,-25.32399908359264,11.770638160514295,2358.283644086059,2245.8743559139402,1.1215385010223011,1.1206470405214572
